case_number,species,nez_taille_oeil,nez_longueur_museau,nez_largeur_museau,nez_epaisseur,gueule_taille_dent,gueule_ecart_machoire,aileronHaut_longueur,aileronHaut_largeur,tronc_longueur,tronc_epaisseur,tronc_largeur,aileronBas_longueur,aileronBas_largeur,queue_taille_aileron,queue_longueur,aileronArriere_longueur,aileronArriere_largeur,bas_longueur,bas_epaisseur,bas_largeur
2019.07.30,blacktip shark,9.75,8.34,2.96,8.45,3.06,76.93,8.36,5.16,4.01,2.13,8.0,14.36,3.65,9.46,29.14,2.48,1.67,5.1,2.62,7.06
2019.07.27.a,spinner shark,4.18,9.56,10.18,14.1,1.89,49.87,6.52,3.07,5.22,3.39,7.04,16.86,9.22,9.37,8.31,5.27,1.11,2.19,3.89,5.75
2019.07.22,sandtiger shark,6.67,14.71,2.98,5.56,3.59,96.92,14.92,9.28,2.84,5.12,2.4,8.07,9.91,10.03,21.46,2.14,2.5,2.84,5.18,7.06
2019.07.17.R,white shark,3.01,9.17,8.38,12.64,1.76,28.3,9.71,4.65,3.04,6.69,3.85,18.39,9.11,19.08,17.16,2.05,3.31,8.79,2.88,4.23
2019.07.10,white shark,7.24,11.21,5.3,1.15,4.58,24.77,18.32,2.36,3.56,5.08,5.34,11.36,7.35,18.96,19.77,4.98,1.22,2.79,2.73,3.53
2019.07.09,bull shark,2.85,7.21,4.05,14.34,4.74,46.29,8.96,4.77,6.4,6.73,5.11,11.88,7.77,11.11,8.69,5.1,3.25,2.93,1.92,2.99
2019.06.16.a,bull shark,6.49,9.63,5.05,2.17,1.74,94.13,13.17,4.91,6.02,3.54,5.86,8.9,7.44,14.17,9.23,5.29,2.21,7.89,2.35,6.36
2019.05.25.a,bull shark,8.44,13.64,13.84,8.38,3.51,44.13,12.56,6.34,5.26,2.89,9.35,16.17,7.93,13.59,16.61,4.07,2.68,3.79,5.89,7.3
2019.05.07,white shark,5.11,5.66,2.33,4.23,3.71,55.79,19.71,9.2,7.61,5.76,6.49,17.72,7.32,6.38,7.4,2.13,3.99,4.21,2.72,7.07
2019.05.04,lemon shark,6.13,11.87,12.67,7.94,1.42,95.63,16.57,8.44,2.57,5.83,9.14,15.42,4.73,14.86,10.65,5.96,2.43,3.22,2.76,4.88
2019.04.27.R,grey nurse shark,2.31,12.66,12.83,7.51,2.36,74.78,8.62,9.15,2.11,3.69,6.77,9.47,9.49,15.87,9.95,2.75,1.59,4.69,1.71,3.06
2019.04.23,tiger shark,9.16,10.43,8.25,6.04,1.36,92.35,5.44,2.07,2.52,2.18,9.0,7.92,5.36,16.69,8.14,4.72,3.63,7.4,4.77,4.75
2019.04.06.b,tiger shark,1.49,10.84,10.41,7.85,3.92,45.02,8.15,3.01,6.03,7.44,9.73,11.83,4.77,6.05,17.21,2.59,2.37,4.12,3.42,7.67
2019.04.06.a,cookiecutter shark,5.76,11.88,2.66,9.14,3.7,31.75,5.89,7.72,4.08,7.32,2.43,14.83,9.81,19.84,10.94,4.38,2.5,6.54,5.34,5.22
2019.04.05,sand tiger shark,9.7,10.43,14.37,6.11,3.04,85.48,15.3,6.3,5.82,1.2,5.78,7.43,6.55,17.86,18.46,5.2,3.18,6.65,4.73,3.55
2019.03.25,grey reef shark,1.32,6.03,13.15,6.83,3.92,74.6,19.11,7.06,5.39,1.43,3.2,15.06,5.75,18.51,27.4,5.9,2.74,9.64,2.31,3.59
2019.03.16,cookiecutter shark,9.18,13.34,10.08,2.64,1.34,81.63,13.28,5.17,3.65,5.67,9.54,14.92,8.64,19.11,17.14,5.32,1.86,2.18,1.72,2.9
2019.03.12,spinner shark,5.63,12.53,12.61,1.43,2.85,33.03,14.64,7.85,9.73,3.44,3.82,16.03,4.69,12.5,20.76,2.48,2.47,8.03,5.87,4.32
2019.02.14,lemon shark,8.79,8.12,8.23,4.74,2.26,28.68,14.07,8.01,7.1,3.5,5.88,17.7,7.21,6.19,22.15,3.7,2.91,8.46,2.86,2.63
2019.02.04.b,tiger shark,8.79,9.33,3.36,11.67,3.22,41.28,7.02,5.87,3.87,1.78,8.59,6.42,5.96,9.95,23.0,2.19,1.07,9.15,4.52,2.16
2019.02.02.a,bull shark,9.72,7.68,4.36,14.4,4.47,74.12,5.69,7.44,7.35,6.39,9.3,9.22,2.64,14.46,24.97,1.72,2.4,4.78,4.4,7.51
2019.01.14,wobbegong shark,2.24,5.46,8.31,14.2,2.73,82.43,18.5,6.62,5.19,6.9,4.05,17.63,3.66,14.91,26.15,2.36,3.47,7.0,3.07,7.63
2019.01.08,white shark,4.78,13.11,6.92,14.86,3.26,92.3,17.35,8.42,4.3,2.32,7.6,17.38,6.65,16.84,23.9,5.04,1.59,4.91,5.07,4.09
